Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,existing_capacity,existing_capacity_unit,baseline_country_supply,country_supply_growth,global_supply_growth,baseline_global_supply,first_year_multiplier,max_global_share,tech_potential,note location,Note scenario
0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,0,0,0,0,0,0,3669,MEX,"No RE allowed, Higher bound emissions reference"
1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,0.909,0.286518225,0.115,121.305,1,0.05,3669,MEX,"Zero-cost, lower bound emissions reference for high install rates"
2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,0.909,0.143259113,0.115,121.305,1,0.05,3669,MEX,"Zero-cost, lower bound emissions reference for low install rates"
3,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,0,0,0,0,0,0,81,CHL,"No RE allowed, Higher bound emissions reference"
4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,0.184,0.379008098,0.115,121.305,1,0.05,81,CHL,"Zero-cost, lower bound emissions reference for high install rates"
5,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,0.184,0.189504049,0.115,121.305,1,0.05,81,CHL,"Zero-cost, lower bound emissions reference for low install rates"
6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,0,0,0,0,0,0,2503,WECC,"No RE allowed, Higher bound emissions reference"
7,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,1.5566,0.092409131,0.115,121.305,1,0.05,2503,WECC,"Zero-cost, lower bound emissions reference for high install rates"
8,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,1.5566,0.046204566,0.115,121.305,1,0.05,2503,WECC,"Zero-cost, lower bound emissions reference for low install rates"
9,"1.578058786,1.565978381,1.553897977,1.541817572,1.529737167,1.517656763,1.489856918,1.462057073,1.434257228,1.406457384,1.378657539,1.350857694,1.323057849,1.295258004,1.26745816,1.239658315,1.21185847,1.184058625,1.15625878,1.128458936,1.100659091,1.072859246,1.045059401,1.017259557,0.989459712,0.961659867,0.933860022,0.906060177,0.878260333,0.850460488",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,0.909,0.286518225,0.115,121.305,1,0.05,3669,MEX,"Learning curve cost, CAGR"
